complex_names,complex_address,complex_rating,num_of_reviews
La Costa apartments provo,"621 E 420 N St, Provo, UT",4,2
La Jolla apartments provo,"947 N University Ave, Provo, UT",3.6,15
Millrace apartments provo,"225 W 2230 N, Provo, UT",3.6,8
Mountainwood apartments provo,"56 West W 700 N, Provo, UT",3.7,6
Old Mill Towne apartments provo,"724 W 1720 N, Provo, UT",3.3,73
Riverside Avenue apartments provo,"1436-, 1500 Riverside Ave, Provo, UT",2.9,14
Santa Barbara Villa apartments provo,"515 N 790 E, Provo, UT",4.3,9
Sierra apartments provo,"111 S 1000 E St #1-32, Provo, UT",5,2
Somerset apartments provo,"Provo, UT",4.7,3
Stonebridge apartments provo,"151 300 N, Provo, UT",5,1
Stonebridge II apartments provo,"151 300 N, Provo, UT",5,1
SummerLynn apartments provo,"239 300 N, Provo, UT",3.8,4
The Avenues apartments provo,"850 N University Ave, Provo, UT",4.3,9
The Reynolds apartments provo,"466 N 400 E, Provo, UT",5,3
Timpanogos Gateway Condominiums apartments provo,"1931 N Canyon Rd, Provo, UT",3.5,15
University Anenue apartments provo,"590 N University Ave, Provo, UT",3.5,21
Victoria Place apartments provo,"267 E 500 N, Provo, UT",3.2,5
Washington Condo apartments provo,"825 900 E, Provo, UT",3.6,5
Wellington II Condo apartments provo,"855 E 700 N, Provo, UT",4,1
Windsor Park Condo apartments provo,"104 W 1230 N, Provo, UT",4,31
Winter Quarters Condo apartments provo,"182 E 800 N, Provo, UT",4.5,6
