facility_name,facility_type,facility_address,apt_complexlist/7
The White House,Small Facility,685 E 700 N ,"
     "
Tree House Apartments,Small Facility,658 N 100 E,"
"
Villa,Small Facility,531 E 700 N,"
"
Waterford House,Small Facility,409 N 800 E ,"
     "
Westfall House,Small Facility,852 E 350 N ,"
     "
Wyndham,Small Facility, 843 E 560 N, 847 E 560 N
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ", 145 N 400 E,"
"
"
     ","
     ","
     ",
"
     ","
     ", 1941 N 700 W,"
"
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ", 358 E 400 N,"
"
"
     ","
     ", 383 E 500 N,"
"
"
     ","
     ","
     ",
"
     ","
     ", 442 N 300 E,"
"
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ", 613 W 1975 N,"
"
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ", 668 E 600 N,"
"
"
     ","
     ", 674 E 800 N,"
"
"
     ","
     ", 690 N 700 E,"
"
"
     ","
     ","
     ",
"
     ","
     ", 730 E 700 N,"
"
"
     ","
     ", 733 N 400 E,"
"
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ","
     ",
"
     ","
     ",817 N 700 E,"
     "
"
     ","
     ","
     ",
"
     ","
     ", 875 E 560 N,"
"
"
     ","
     ","
     ",
"
     ","
     ","
     ",
Aretta Gardens Condo,Condominium,565 N 300 E,"
"
Beehive Condos,Condominium,468 N 100 W,"
"
Belmont Condominiums,Condominium,504 N Seven Peaks Blvd,"
"
Belmont Condominiums,Condominium,432 N Seven Peaks Blvd,"
"
Belmont Condominiums,Condominium,392 N Seven Peaks Blvd,"
"
Belmont Condominiums,Condominium,332 N Seven Peaks Blvd,"
"
Belmont Condominiums,Condominium,345 N Belmont Pl,"
"
Belmont Condominiums,Condominium,389 N Belmont Pl,"
"
Belmont Condominiums,Condominium,421 N Belmont Pl,"
"
Belmont Condominiums,Condominium,455 N Belmont Pl,"
"
Belmont Condominiums,Condominium,509 N Belmont Pl,"
"
Ben-Dick Arms,Condominium,161 E 700 N,"
"
Cambridge East,Condominium,765 E 750 N ,"
"
Cambridge Middle,Condominium,737 E 750 N,"
"
Campus Lane ,Condominium,590 N 500 E ,"
"
Campus Lane ,Condominium,586 N 500 E ,"
"
Campus Lane ,Condominium,580 N 500 E ,"
"
Campus View South,Condominium,722 N 200 E,"
"
Canterwood,Condominium,935 N University Avenue,"
"
Chandell,Condominium,889 N 50 E,"
"
Chandell,Condominium,895 N 50 E,"
"
Chandell,Condominium,885 N 50 E,"
"
Chandell,Condominium,893 N 50 E,"
"
Chandell,Condominium,883 N 50 E,"
"
Chatham Towne,Condominium,562 N 900 E,"
"
Chatham Towne,Condominium,972 N 100 E,"
"
Chatham Towne,Condominium,986 N 100 E,"
"
Chatham Towne,Condominium,976 N 100 E,"
"
Chatsworth,Condominium,681 N 100 E,"
"
Chelsea I ,Condominium,611 N 700 E,"
"
Courtside,Condominium,948 N 50 E,"
"
Downs North,Condominium,686 E 700 N,"
"
Enclave Village,Condominium,642 N 200 E,"
"
Goldstone,Condominium,261 N 400 E,"
"
Hampton Park Court,Condominium,659 N 700 E,"
"
Huntington Park ,Condominium,865 N 500 W,"
"
Kensington I,Condominium,788 E 750 N,"
"
La Costa,Condominium,621 E 420 N,"
"
La Jolla,Condominium,949 N University Avenue,"
"
Millrace,Condominium,225 W 2230 N,"
"
Millrace,Condominium,241 W 2230 N,"
"
Millrace,Condominium,237 W 2230 N,"
"
Mount Vista,Condominium,885 E 350 N ,"
"
Mountainwood,Condominium,36 W 700 N,"
"
Mountainwood,Condominium,54 W 700 N,"
"
Oak Pointe,Condominium,385 N 700 E,"
"
Oak Pointe,Condominium,373 N 700 E,"
"
Oak Pointe,Condominium,379 N 700 E,"
"
Oak Pointe,Condominium,361 N 700 E,"
"
Old Mill Towne,Condominium,722 W 1720 N,"
"
Old Mill Towne,Condominium,724 W 1720 N,"
"
Old Mill Towne,Condominium,718 W 1720 N,"
"
Paradise Park,Condominium,441 W 400 N,"
"
Pinecrest Place,Condominium,432 N 500 E ,"
"
Promenade,Condominium,888 E 820 N,"
"
Promenade,Condominium,761 N 900 E,"
"
Riverside Avenue,Condominium,1559 N Riverside Avenue,"
"
Riverside Avenue,Condominium,1533 N Riverside Avenue,"
"
Riverside Avenue,Condominium,1547 N Riverside Avenue,"
"
Santa Barbara Villa,Condominium,752 E 560 N,"
"
Santa Barbara Villa,Condominium,778 E 560 N,"
"
Santa Barbara Villa,Condominium,529 E 790 E,"
"
Santa Barbara Villa,Condominium,516 N 720 E,"
"
Santa Barbara Villa,Condominium,542 N 720 E,"
"
Sierra,Condominium,241 E 400 N,"
"
Somerset,Condominium,905 N 150 E,"
"
Stonebridge,Condominium,761 E 900 N,"
"
Stonebridge II,Condominium,151 E 300 N,"
"
SummerLynn,Condominium,239 E 300 N,"
"
Temple Lane,Condominium,240 E 2230 N,"
"
The Avenues,Condominium,836 N Univeristy Avenue,"
"
The Avenues,Condominium,851 N 50 E,"
"
The Reynolds,Condominium,466 N 400 E,"
"
Timpanogos Gateway Condominiums,Condominium,1963 N Canyon Road,"
"
Timpanogos Gateway Condominiums,Condominium,1931 N Canyon Road,"
"
University Anenue,Condominium,539 N University Avenue,"
"
University Anenue,Condominium,567 N University Avenue,"
"
University Anenue,Condominium,591 N University Avenue,"
"
Victoria Place,Condominium,284 E 600 N,"
"
Washington Condo,Condominium,825 N 900 E,"
"
Wellington II Condo,Condominium,732 N 800 E,"
"
Windsor Arms West Condo,Condominium,744 E 750 N,"
"
Windsor Park Condo,Condominium,108 W 1230 N,"
"
Windsor Park Condo,Condominium,98 W 1230 N,"
"
Windsor Park Condo,Condominium,146 W 1230 N,"
"
Winter Quarters Condo,Condominium,769 N 200 E,"
"
