complex_name,complex_type,complex_address,approximate_units
Westfall House,Small Facility,852 E 350 N ,0.0
Wyndham,Small Facility, 843 E 560 N,0.0
,Small Facility,1051 E 560 N,0.0
,Small Facility,1175 E Briar Avenue,0.0
,Small Facility,1234 E Aspen Avenue,0.0
,Small Facility,143 N 400 E,0.0
,Small Facility,1580 N 300 W,0.0
,Small Facility,1939 N 700 W ,0.0
,Small Facility,213 N 100 E,0.0
,Small Facility,247 N 800 E,0.0
,Small Facility,273 N 800 E,0.0
,Small Facility,340 N 200 E,0.0
,Small Facility,35 W 400 N,0.0
,Small Facility,356 E 400 N ,0.0
,Small Facility,381 E 500 N ,0.0
,Small Facility,395 W 800 N,0.0
,Small Facility,440 N 300 E ,0.0
,Small Facility,466 E Sumac Lane,0.0
,Small Facility,480 N 700 E ,0.0
,Small Facility,528 N 700 E,0.0
,Small Facility,598 N 700 E,0.0
,Small Facility,611 W 1975 N ,0.0
,Small Facility,632 E 800 N,0.0
,Small Facility,650 E 800 N,0.0
,Small Facility,666 E 600 N ,0.0
,Small Facility,672 E 300 N ,0.0
,Small Facility,680 N 700 E ,0.0
,Small Facility,695 E 420 N ,0.0
,Small Facility,720 E 700 N ,0.0
,Small Facility,731 N 400 E ,0.0
,Small Facility,745 N 700 E,0.0
,Small Facility,749 N 700 E ,0.0
,Small Facility,756 E 700 N,0.0
,Small Facility,763 E 560 N,0.0
,Small Facility,795 N 700 E,0.0
,Small Facility,815 N 700 E,0.0
,Small Facility,820 N 580 E,0.0
,Small Facility,873 E 560 N ,0.0
,Small Facility,895 E 300 N,0.0
,Small Facility,99 E 800 N,0.0
Aretta Gardens Condo,Condominium,565 N 300 E,0.0
Beehive Condos,Condominium,468 N 100 W,0.0
Belmont Condominiums,Condominium,504 N Seven Peaks Blvd,0.0
Belmont Condominiums,Condominium,432 N Seven Peaks Blvd,0.0
Belmont Condominiums,Condominium,392 N Seven Peaks Blvd,0.0
Belmont Condominiums,Condominium,332 N Seven Peaks Blvd,0.0
Belmont Condominiums,Condominium,345 N Belmont Pl,0.0
Belmont Condominiums,Condominium,389 N Belmont Pl,0.0
Belmont Condominiums,Condominium,421 N Belmont Pl,0.0
Belmont Condominiums,Condominium,455 N Belmont Pl,0.0
Belmont Condominiums,Condominium,509 N Belmont Pl,0.0
Ben-Dick Arms,Condominium,161 E 700 N,0.0
Cambridge East,Condominium,765 E 750 N ,0.0
Cambridge Middle,Condominium,737 E 750 N,0.0
Campus Lane ,Condominium,590 N 500 E ,0.0
Campus Lane ,Condominium,586 N 500 E ,0.0
Campus Lane ,Condominium,580 N 500 E ,0.0
Campus View South,Condominium,722 N 200 E,0.0
Canterwood,Condominium,935 N University Avenue,0.0
Chandell,Condominium,889 N 50 E,0.0
Chandell,Condominium,895 N 50 E,0.0
Chandell,Condominium,885 N 50 E,0.0
Chandell,Condominium,893 N 50 E,0.0
Chandell,Condominium,883 N 50 E,0.0
Chatham Towne,Condominium,562 N 900 E,0.0
Chatham Towne,Condominium,972 N 100 E,0.0
Chatham Towne,Condominium,986 N 100 E,0.0
Chatham Towne,Condominium,976 N 100 E,0.0
Chatsworth,Condominium,681 N 100 E,0.0
Chelsea I ,Condominium,611 N 700 E,0.0
Courtside,Condominium,948 N 50 E,0.0
Downs North,Condominium,686 E 700 N,0.0
Enclave Village,Condominium,642 N 200 E,0.0
Goldstone,Condominium,261 N 400 E,0.0
Hampton Park Court,Condominium,659 N 700 E,0.0
Huntington Park ,Condominium,865 N 500 W,0.0
Kensington I,Condominium,788 E 750 N,0.0
La Costa,Condominium,621 E 420 N,0.0
La Jolla,Condominium,949 N University Avenue,0.0
Millrace,Condominium,225 W 2230 N,0.0
Millrace,Condominium,241 W 2230 N,0.0
Millrace,Condominium,237 W 2230 N,0.0
Mount Vista,Condominium,885 E 350 N ,0.0
Mountainwood,Condominium,36 W 700 N,0.0
Mountainwood,Condominium,54 W 700 N,0.0
Oak Pointe,Condominium,385 N 700 E,0.0
Oak Pointe,Condominium,373 N 700 E,0.0
